Structure;Code_struct;Image2
Trous;T1;DSC_7448
Trous;T6;DSC_7310
Trous;T4;
Trous;T7;DSC_7430
Faille_coupole;CGF1;DSC_7442
Faille_coupole;CGF2;DSC_7366
Bandes.C2;C2B1_2;DSC_6735
Bandes.C2;C2B2_3;DSC_6789
Bandes.C1;C1B1_2;DSC_6717
Devers.C3;C3D2_3;DSC_6793
Pilier.C2;C2P1;DSC_6706
Cote.C3;C3CG5_6;DSC_7033
Faille;DGF4;DSC_7173
Pilier.C2;C2P8;DSC_6654
Horizontal.C2;C2H7_8;DSC_6641
Devers.C3;C3D7_8;DSC_6640
Devers.C3;C3D8_1;DSC_6701
Trous;T2;DSC_7412
Trous;T3;DSC_7380
Trous;T5;DSC_7335
Faille_coupole;CGF3;DSC_7342
Faille_coupole;CGF4;DSC_7421
Faille_coupole;CPF1;DSC_7441
Faille_coupole;CPF2;DSC_7392
Faille_coupole;CPF3;DSC_7348
Faille_coupole;CPF4;DSC_7459
Faille;DGF1;DSC_6743
Faille;DGF2;DSC_6856
Faille;DGF3;DSC_6965
Faille;DPF1;DSC_6796
Faille;DPF2;DSC_6927
Faille;DPF3;DSC_7126
Faille;DPF4;DSC_6707
Bandes;CHB1;
Bandes;CHB2;DSC_7401
Bandes;CHB3;DSC_7399
Bandes;CHB4;DSC_7369
Bandes;CHB5;DSC_7336
Bandes;CHB6;DSC_7305
Bandes;CHB7;DSC_7433
Bandes;CHB8;DSC_7451
Bandes;CPC1;DSC_7441
Bandes;CPC2;DSC_7386
Bandes;CPC3;DSC_7344
Bandes;CPC4;DSC_7437
Pilier.C2;C2P2;DSC_6753
Pilier.C2;C2P3;DSC_6806
Pilier.C2;C2P4;DSC_6870
Pilier.C2;C2P5;DSC_6941
Pilier.C2;C2P6;DSC_7053
Pilier.C2;C2P7;DSC_7108
Devers.C3;C3D1_2;DSC_6746
Devers.C3;C3D3_4;DSC_6857
Devers.C3;C3D4_5;DSC_6922
Devers.C3;C3D5_6;DSC_7036
Devers.C3;C3D6_7;DSC_7042
Devers.C2;C2D1_2;DSC_6716
Devers.C2;C2D2_3;DSC_6783
Devers.C2;C2D3_4;DSC_6841
Devers.C2;C2D4_5;DSC_6909
Devers.C2;C2D5_6;DSC_7024
Devers.C2;C2D6_7;DSC_7114
Devers.C2;C2D7_8;DSC_6616
Devers.C2;C2D8_1;DSC_6675
Horizontal.C2;C2H1_2;DSC_6746
Horizontal.C2;C2H2_3;DSC_6798
Horizontal.C2;C2H3_4;DSC_6854
Horizontal.C2;C2H4_5;DSC_6917
Horizontal.C2;C2H5_6;DSC_7036
Horizontal.C2;C2H6_7;DSC_7050
Horizontal.C2;C2H8_1;DSC_6703
Horizontal.C1;C1H1_2;DSC_6711
Horizontal.C1;C1H2_3;DSC_6784
Horizontal.C1;C1H3_4;DSC_6833
Horizontal.C1;C1H4_5;DSC_6902
Horizontal.C1;C1H5_6;DSC_6961
Horizontal.C1;C1H6_7;DSC_7054
Horizontal.C1;C1H7_8;DSC_7164
Horizontal.C1;C1H8_1;DSC_6676
Bandes.C2;C2B3_4;DSC_6844
Bandes.C2;C2B4_5;DSC_6913
Bandes.C2;C2B5_6;DSC_6981
Bandes.C2;C2B6_7;DSC_7063
Bandes.C2;C2B7_8;DSC_6609
Bandes.C2;C2B8_1;DSC_6677
Bandes.C1;C1B2_3;DSC_6769
Bandes.C1;C1B3_4;DSC_6828
Bandes.C1;C1B4_5;DSC_6893
Bandes.C1;C1B5_6;DSC_7026
Bandes.C1;C1B6_7;DSC_7065
Bandes.C1;C1B7_8;DSC_6598
Bandes.C1;C1B8_1;DSC_6666
Cote.C3;C3CG1_2;DSC_6745
Cote.C3;C3CG2_3;DSC_6795
Cote.C3;C3CG3_4;DSC_6855
Cote.C3;C3CG4_5;DSC_6925
Cote.C3;C3CG6_7;DSC_7047
Cote.C3;C3CG7_8;DSC_6641
Cote.C3;C3CG8_1;DSC_6702
Cote.C2;C2CG1_2;DSC_6736
Cote.C2;C2CG2_3;DSC_6780
Cote.C2;C2CG3_4;DSC_6835
Cote.C2;C2CG4_5;DSC_6903
Cote.C2;C2CG5_6;DSC_6960
Cote.C2;C2CG6_7;DSC_7054
Cote.C2;C2CG7_8;DSC_7164
Cote.C2;C2CG8_1;DSC_6677
Cote.C3;C3CD1_2;DSC_6746
Cote.C3;C3CD2_3;DSC_6791
Cote.C3;C3CD3_4;DSC_6857
Cote.C3;C3CD4_5;DSC_6919
Cote.C3;C3CD5_6;DSC_7036
Cote.C3;C3CD6_7;DSC_7049
Cote.C3;C3CD7_8;DSC_6640
Cote.C3;C3CD8_1;DSC_6703
Cote.C2;C2CD1_2;DSC_6738
Cote.C2;C2CD2_3;DSC_6779
Cote.C2;C2CD3_4;DSC_6842
Cote.C2;C2CD4_5;DSC_6906
Cote.C2;C2CD5_6;DSC_6961
Cote.C2;C2CD6_7;DSC_7055
Cote.C2;C2CD7_8;DSC_7163
Cote.C2;C2CD8_1;DSC_6678
Pieds;P1;DSC_6760
Pieds;P2;DSC_6948
Pieds;P3;DSC_7147
Devers.C1;C1D1_2;NA
Devers.C1;C1D2_3;DSC_6997
Devers.C1;C1D3_1;NA
